"Timestamp","Which conceptual modeling languages do you know?","How would you describe your expertise in conceptual modeling?","How many years of conceptual modeling experience do you have?","What is your current position?","How familiar are you with the car rental domain?","Abstraction ALT-K contains all important elements to understand the gist of the model.","Abstraction ALT-K includes redundant elements to understand the gist of the model.","Abstraction ALT-L contains all important elements to understand the gist of the model.","Abstraction ALT-L includes redundant elements to understand the gist of the model.","Abstraction ALT-M contains all important elements to understand the gist of the model.","Abstraction ALT-M includes redundant elements to understand the gist of the model.","Abstraction ALT-N contains all important elements to understand the gist of the model.","Abstraction ALT-N includes redundant elements to understand the gist of the model.","Rank below the 4 abstractions according to your preference, where 1 means your most preferred abstraction (i.e., the one that best summarises the complete model) and 4 your least preferred abstraction. [ALT-K]","Rank below the 4 abstractions according to your preference, where 1 means your most preferred abstraction (i.e., the one that best summarises the complete model) and 4 your least preferred abstraction. [ALT-L]","Rank below the 4 abstractions according to your preference, where 1 means your most preferred abstraction (i.e., the one that best summarises the complete model) and 4 your least preferred abstraction. [ALT-M]","Rank below the 4 abstractions according to your preference, where 1 means your most preferred abstraction (i.e., the one that best summarises the complete model) and 4 your least preferred abstraction. [ALT-N]","Motivate your ranking."
"2022/02/14 3:35:03 PM GMT-3","(Extended) Entity-Relationship Modeling (EER)","Beginner","≤ 1 year","Data Scientist","I rented a car before","5","5","5","5","5","5","5","5","4 (worst)","1 (best)","2","3","O ALT-K é muito simples e não mostra todas as iterações entre as entidades. Já o ALT-L mostra essas iterações."
"2022/02/17 6:17:57 PM GMT-3","Unified Modeling Language (UML);(Extended) Entity-Relationship Modeling (EER);Object Role Modeling (ORM);OntoUML;ArchiMate;Business Process Model and Notation (BPMN)","Expert","> 5 years","Professor","I never rented a car","1","3","3","5","4","2","5","2","4 (worst)","3","2","1 (best)","In my view ALT-N represents the necessary classes to represent the problem domain. Other models are either too simplistic (ALT-K), and do not provide the reader with a good understanding of the domain, or contain too much information extending beyond the specific problem domain. However, the latter are more complete and relate the problem domain to more general patterns that are however necessary to developing the resulting information system."
"2022/02/18 11:55:15 AM GMT-3","Unified Modeling Language (UML);(Extended) Entity-Relationship Modeling (EER);OntoUML;Business Process Model and Notation (BPMN);iStar/Tropos, KAOS","Intermediate","> 3 and ≤ 5 years","Software Engineer","I rented a car before","2","1","5","1","5","1","5","1","4 (worst)","3","2","1 (best)","The model is for a Car Rental. These elements are made relevant and actually appear in N version. The other diagrams, in one way or another hide some important concepts."
"2022/02/22 9:29:52 AM GMT-3","Unified Modeling Language (UML);ArchiMate;Business Process Model and Notation (BPMN)","Intermediate","> 5 years","PhD Student","I rented a car before","5","4","4","4","4","4","4","2","1 (best)","4 (worst)","2","3","From general model to more details"
"2022/02/22 10:08:24 AM GMT-3","Unified Modeling Language (UML)","Intermediate","≤ 1 year","System Analyst","I rented a car before","1","1","3","5","4","2","4","3","4 (worst)","2","3","1 (best)","Preferencia por modelos que tem informação explicitas a àquelas que são implicitas. Por exemplo: ALT-N tem os três tipos de carro (for Repair, for Maintenence, functional), no ALT-M , functional car está implicito."
"2022/02/22 10:48:13 AM GMT-3","Unified Modeling Language (UML);(Extended) Entity-Relationship Modeling (EER);OntoUML;Business Process Model and Notation (BPMN)","Intermediate","> 3 and ≤ 5 years","PhD Student","I rented a car before","1","1","4","1","2","4","2","2","3","1 (best)","2","4 (worst)","Better to have not to many classes, but a lot of relations to understand. The enumerations also have extra information without increasing the complexity. "
"2022/02/22 12:23:00 PM GMT-3","Unified Modeling Language (UML);Business Process Model and Notation (BPMN)","Intermediate","> 5 years","Professor","I rented a car before","2","1","2","4","2","4","5","1","3","2","4 (worst)","1 (best)","I would call it snapshot view. When I look at I evaluate it how easy and fast was for me to get a complete logic of the situation. "
"2022/02/23 7:31:04 AM GMT-3","Unified Modeling Language (UML);OntoUML;Business Process Model and Notation (BPMN)","Intermediate","> 3 and ≤ 5 years","Data Scientist","I rented a car before","2","3","4","2","4","2","3","3","4 (worst)","1 (best)","2","3","ALT-K is very general and does not provide all of the required details.
ALT-L is the most easier to understand - it holds the cardinal entities of the complete model in a way that it is very easy to understand. Furthermore this abstraction encodes types of entities as relations (for instance - a driver) this allows faster traversal of the graph for analytics proposes. The tradeoff is that this abstraction allows unrealistic behaviors as a person that is marriage to himself, etc. 
The rest of the models missed the correct focus according to my understanding (ALT-M on insurance aspects, and ALT-N on the car rental agreement)    "
"2022/03/09 8:15:10 PM GMT-3","Unified Modeling Language (UML);(Extended) Entity-Relationship Modeling (EER)","Beginner","≤ 1 year","Professor","I rented a car before","2","1","3","2","4","2","3","2","4 (worst)","3","1 (best)","2","Rótulos, níveis de abstração e possibilidade de extensão futura para novas classes/cenários."
"2022/03/10 8:59:38 AM GMT-3","Unified Modeling Language (UML);(Extended) Entity-Relationship Modeling (EER);Business Process Model and Notation (BPMN)","Intermediate","> 5 years","Professor","I never rented a car","3","1","4","1","1","1","4","1","4 (worst)","2","3","1 (best)","correctness, and level of abstraction that enables to understand the reality without lacks of knowledge."
"2022/03/11 4:53:17 PM GMT-3","Unified Modeling Language (UML);(Extended) Entity-Relationship Modeling (EER);Business Process Model and Notation (BPMN)","Intermediate","> 5 years","Middle Level Manager","I rented a car before","5","2","4","5","5","1","3","3","3","2","1 (best)","4 (worst)","Dei preferência aos diagramas que não tinham muita informação ao mesmo tempo. Permitindo conhecer de forma rápida os principais aspectos do modelo."
